country;year;category;group;subgroup;consumption
Austria;2014;Non-Animal;Carbohydrates;Cereals and Grains ;943
Austria;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58,5
Austria;2014;Non-Animal;Fruit and Vegetables ;;234
Austria;2014;Non-Animal;Oils & Fats ;;863
Austria;2014;Animal;Meat ;;427
Austria;2014;Animal;Dairy & Eggs ;;296
Austria;2014;Non-Animal;Alcoholic Beverages ;;246
Austria;2014;Non-Animal;Carbohydrates;Sugar ;476
Austria;2015;Non-Animal;Alcoholic Beverages ;;247
Austria;2015;Non-Animal;Fruit and Vegetables ;;243
Austria;2015;Non-Animal;Carbohydrates;Cereals and Grains ;929
Austria;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;51,5
Austria;2015;Animal;Dairy & Eggs ;;290
Austria;2015;Non-Animal;Carbohydrates;Sugar ;470
Austria;2015;Non-Animal;Oils & Fats ;;971
Austria;2015;Animal;Meat ;;414
Austria;2016;Animal;Dairy & Eggs ;;303
Austria;2016;Non-Animal;Fruit and Vegetables ;;255
Austria;2016;Non-Animal;Carbohydrates;Cereals and Grains ;940
Austria;2016;Animal;Meat ;;429
Austria;2016;Non-Animal;Alcoholic Beverages ;;247
Austria;2016;Non-Animal;Carbohydrates;Sugar ;453
Austria;2016;Non-Animal;Oils & Fats ;;962
Austria;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;55,5
Austria;2017;Non-Animal;Carbohydrates;Cereals and Grains ;910
Austria;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;57
Austria;2017;Animal;Meat ;;408
Austria;2017;Animal;Dairy & Eggs ;;312
Austria;2017;Non-Animal;Fruit and Vegetables ;;274
Austria;2017;Non-Animal;Oils & Fats ;;975
Austria;2017;Non-Animal;Alcoholic Beverages ;;229
Austria;2017;Non-Animal;Carbohydrates;Sugar ;464
Austria;2018;Non-Animal;Oils & Fats ;;1025
Austria;2018;Animal;Meat ;;420
Austria;2018;Animal;Dairy & Eggs ;;303
Austria;2018;Non-Animal;Carbohydrates;Sugar ;446
Austria;2018;Non-Animal;Alcoholic Beverages ;;243
Austria;2018;Non-Animal;Fruit and Vegetables ;;240
Austria;2018;Non-Animal;Carbohydrates;Cereals and Grains ;893
Austria;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58,5
Austria;2019;Non-Animal;Carbohydrates;Sugar ;457
Austria;2019;Non-Animal;Oils & Fats ;;1052
Austria;2019;Animal;Meat ;;423
Austria;2019;Non-Animal;Alcoholic Beverages ;;234
Austria;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;57,5
Austria;2019;Animal;Dairy & Eggs ;;302
Austria;2019;Non-Animal;Fruit and Vegetables ;;247
Austria;2019;Non-Animal;Carbohydrates;Cereals and Grains ;870
Austria;2020;Non-Animal;Alcoholic Beverages ;;237
Austria;2020;Non-Animal;Carbohydrates;Sugar ;457
Austria;2020;Non-Animal;Oils & Fats ;;1017
Austria;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;59
Austria;2020;Non-Animal;Carbohydrates;Cereals and Grains ;882
Austria;2020;Animal;Meat ;;416
Austria;2020;Animal;Dairy & Eggs ;;305
Austria;2020;Non-Animal;Fruit and Vegetables ;;273
Austria;2021;Non-Animal;Carbohydrates;Cereals and Grains ;891
Austria;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;55,5
Austria;2021;Non-Animal;Fruit and Vegetables ;;263
Austria;2021;Non-Animal;Oils & Fats ;;1031
Austria;2021;Animal;Meat ;;399
Austria;2021;Animal;Dairy & Eggs ;;319
Austria;2021;Non-Animal;Alcoholic Beverages ;;233
Austria;2021;Non-Animal;Carbohydrates;Sugar ;454
Austria;2022;Non-Animal;Alcoholic Beverages ;;243
Austria;2022;Non-Animal;Fruit and Vegetables ;;261
Austria;2022;Non-Animal;Carbohydrates;Cereals and Grains ;887
Austria;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58,5
Austria;2022;Animal;Dairy & Eggs ;;326
Austria;2022;Non-Animal;Carbohydrates;Sugar ;436
Austria;2022;Non-Animal;Oils & Fats ;;1045
Austria;2022;Animal;Meat ;;416
Belgium;2014;Non-Animal;Carbohydrates;Cereals and Grains ;841
Belgium;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;92
Belgium;2014;Non-Animal;Fruit and Vegetables ;;194
Belgium;2014;Non-Animal;Oils & Fats ;;1007
Belgium;2014;Animal;Meat ;;341
Belgium;2014;Animal;Dairy & Eggs ;;417
Belgium;2014;Non-Animal;Alcoholic Beverages ;;202
Belgium;2014;Non-Animal;Carbohydrates;Sugar ;502
Belgium;2015;Non-Animal;Alcoholic Beverages ;;194
Belgium;2015;Non-Animal;Fruit and Vegetables ;;216
Belgium;2015;Non-Animal;Carbohydrates;Cereals and Grains ;844
Belgium;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;96,5
Belgium;2015;Animal;Dairy & Eggs ;;420
Belgium;2015;Non-Animal;Carbohydrates;Sugar ;480
Belgium;2015;Non-Animal;Oils & Fats ;;1014
Belgium;2015;Animal;Meat ;;327
Belgium;2016;Animal;Dairy & Eggs ;;415
Belgium;2016;Non-Animal;Fruit and Vegetables ;;216
Belgium;2016;Non-Animal;Carbohydrates;Cereals and Grains ;838
Belgium;2016;Animal;Meat ;;345
Belgium;2016;Non-Animal;Alcoholic Beverages ;;184
Belgium;2016;Non-Animal;Carbohydrates;Sugar ;475
Belgium;2016;Non-Animal;Oils & Fats ;;1022
Belgium;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;96,5
