countrycode,latitude,longitude,country
AD,42.546245,1.601554,Andorra
AL,41.153332,20.168331,Albania
AM,40.069099,45.038189,Armenia
AT,47.516231,14.550072,Austria
BA,43.915886,17.679076,Bosnia and Herzegovina
BE,50.503887,4.469936,Belgium
BG,42.733883,25.48583,Bulgaria
BY,53.709807,27.953389,Belarus
CH,46.818188,8.227512,Switzerland
CY,35.126413,33.429859,Cyprus
CZ,49.817492,15.472962,Czech Republic
DE,51.165691,10.451526,Germany
DK,56.26392,9.501785,Denmark
EE,58.595272,25.013607,Estonia
ES,40.463667,-3.74922,Spain
FI,61.92411,25.748151,Finland
FR,46.227638,2.213749,France
GB,55.378051,-3.435973,United Kingdom
GD,12.262776,-61.604171,Grenada
GE,42.315407,43.356892,Georgia
GI,36.137741,-5.345374,Gibraltar
GL,71.706936,-42.604303,Greenland
GR,39.074208,21.824312,Greece
HR,45.1,15.2,Croatia
HU,47.162494,19.503304,Hungary
IE,53.41291,-8.24389,Ireland
IS,64.963051,-19.020835,Iceland
IT,41.87194,12.56738,Italy
KZ,48.019573,66.923684,Kazakhstan
LI,47.166,9.555373,Liechtenstein
LT,55.169438,23.881275,Lithuania
LU,49.815273,6.129583,Luxembourg
LV,56.879635,24.603189,Latvia
MC,43.750298,7.412841,Monaco
MD,47.411631,28.369885,Moldova
ME,42.708678,19.37439,Montenegro
MT,35.937496,14.375416,Malta
NL,52.132633,5.291266,Netherlands
NO,60.472024,8.468946,Norway
PL,51.919438,19.145136,Poland
PT,39.399872,-8.224454,Portugal
RO,45.943161,24.96676,Romania
RS,44.016521,21.005859,Serbia
RU,61.52401,105.318756,Russia
SE,60.128161,18.643501,Sweden
SI,46.151241,14.995463,Slovenia
SK,48.669026,19.699024,Slovakia
SM,43.94236,12.457777,San Marino
TM,38.969719,59.556278,Turkmenistan
TR,38.963745,35.243322,Turkey
UA,48.379433,31.16558,Ukraine
UZ,41.377491,64.585262,Uzbekistan
VA,41.902916,12.453389,Vatican City
XK,42.602636,20.902977,Kosovo
