;geo;coicop;ProdName;TIME_PERIOD;OBS_VALUE;INFLATION_FROM_START
0;AT;CP011;Food;2005-01-31 00:00:00;77,85;0
1;AT;CP011;Food;2005-07-31 00:00:00;77,66666667;-0,235495611
2;AT;CP011;Food;2006-01-31 00:00:00;77,12;-0,937700706
3;AT;CP011;Food;2006-07-31 00:00:00;77,88166667;0,040676515
4;AT;CP011;Food;2007-01-31 00:00:00;78,98666667;1,46007279
5;AT;CP011;Food;2007-07-31 00:00:00;80,69666667;3,656604581
6;AT;CP011;Food;2008-01-31 00:00:00;83,87333333;7,737101263
7;AT;CP011;Food;2008-07-31 00:00:00;87,025;11,78548491
8;AT;CP011;Food;2009-01-31 00:00:00;87,77833333;12,75315778
9;AT;CP011;Food;2009-07-31 00:00:00;87,62833333;12,56047955
10;AT;CP011;Food;2010-01-31 00:00:00;86,835;11,54142582
11;AT;CP011;Food;2010-07-31 00:00:00;87,55166667;12,46199957
12;AT;CP011;Food;2011-01-31 00:00:00;88,35833333;13,49818026
13;AT;CP011;Food;2011-07-31 00:00:00;91,19333333;17,13979876
14;AT;CP011;Food;2012-01-31 00:00:00;91,485;17,51445087
15;AT;CP011;Food;2012-07-31 00:00:00;93,32833333;19,88225219
16;AT;CP011;Food;2013-01-31 00:00:00;95,03833333;22,07878399
17;AT;CP011;Food;2013-07-31 00:00:00;97,33;25,02247913
18;AT;CP011;Food;2014-01-31 00:00:00;98,08166667;25,98801113
19;AT;CP011;Food;2014-07-31 00:00:00;99,43;27,71997431
20;AT;CP011;Food;2015-01-31 00:00:00;99,41;27,69428388
21;AT;CP011;Food;2015-07-31 00:00:00;100,1866667;28,69192892
22;AT;CP011;Food;2016-01-31 00:00:00;99,92333333;28,35367159
23;AT;CP011;Food;2016-07-31 00:00:00;100,7483333;29,41340184
24;AT;CP011;Food;2017-01-31 00:00:00;100,8233333;29,50974095
25;AT;CP011;Food;2017-07-31 00:00:00;102,5466667;31,7233997
26;AT;CP011;Food;2018-01-31 00:00:00;103,6683333;33,16420467
27;AT;CP011;Food;2018-07-31 00:00:00;104,3716667;34,06765147
28;AT;CP011;Food;2019-01-31 00:00:00;104,8133333;34,6349818
29;AT;CP011;Food;2019-07-31 00:00:00;105,795;35,89595376
30;AT;CP011;Food;2020-01-31 00:00:00;106,0133333;36,17640762
31;AT;CP011;Food;2020-07-31 00:00:00;108,2183333;39,00877756
32;AT;CP011;Food;2021-01-31 00:00:00;108,16;38,93384714
33;AT;CP011;Food;2021-07-31 00:00:00;108,93;39,92292871
34;AT;CP011;Food;2022-01-31 00:00:00;110,0583333;41,37229715
35;AT;CP011;Food;2022-07-31 00:00:00;117,9883333;51,55855277
36;AT;CP011;Food;2023-01-31 00:00:00;125,928;61,75722543
37;AT;CP0111;Bread and cereals;2005-01-31 00:00:00;73,91;0
38;AT;CP0111;Bread and cereals;2005-07-31 00:00:00;74,14833333;0,322464258
39;AT;CP0111;Bread and cereals;2006-01-31 00:00:00;74,29;0,514138817
40;AT;CP0111;Bread and cereals;2006-07-31 00:00:00;74,88666667;1,321426961
41;AT;CP0111;Bread and cereals;2007-01-31 00:00:00;75,54333333;2,209894917
42;AT;CP0111;Bread and cereals;2007-07-31 00:00:00;77,34666667;4,649799305
43;AT;CP0111;Bread and cereals;2008-01-31 00:00:00;80,88;9,43038831
44;AT;CP0111;Bread and cereals;2008-07-31 00:00:00;85,92833333;16,2607676
45;AT;CP0111;Bread and cereals;2009-01-31 00:00:00;87,09333333;17,83700897
46;AT;CP0111;Bread and cereals;2009-07-31 00:00:00;87,385;18,23163307
47;AT;CP0111;Bread and cereals;2010-01-31 00:00:00;87,18;17,95426871
48;AT;CP0111;Bread and cereals;2010-07-31 00:00:00;86,83666667;17,48973977
49;AT;CP0111;Bread and cereals;2011-01-31 00:00:00;87,775;18,75930185
50;AT;CP0111;Bread and cereals;2011-07-31 00:00:00;89,745;21,42470572
51;AT;CP0111;Bread and cereals;2012-01-31 00:00:00;90,90333333;22,99192712
52;AT;CP0111;Bread and cereals;2012-07-31 00:00:00;93,215;26,11960492
53;AT;CP0111;Bread and cereals;2013-01-31 00:00:00;94,225;27,48613178
54;AT;CP0111;Bread and cereals;2013-07-31 00:00:00;96,19166667;30,14702566
55;AT;CP0111;Bread and cereals;2014-01-31 00:00:00;96,99333333;31,23167817
56;AT;CP0111;Bread and cereals;2014-07-31 00:00:00;98,175;32,83046949
57;AT;CP0111;Bread and cereals;2015-01-31 00:00:00;98,935;33,85874712
58;AT;CP0111;Bread and cereals;2015-07-31 00:00:00;99,94;35,218509
59;AT;CP0111;Bread and cereals;2016-01-31 00:00:00;100,2133333;35,58832815
60;AT;CP0111;Bread and cereals;2016-07-31 00:00:00;100,9216667;36,54670094
61;AT;CP0111;Bread and cereals;2017-01-31 00:00:00;101,7683333;37,69223831
62;AT;CP0111;Bread and cereals;2017-07-31 00:00:00;102,5816667;38,79267578
63;AT;CP0111;Bread and cereals;2018-01-31 00:00:00;103,365;39,85252334
64;AT;CP0111;Bread and cereals;2018-07-31 00:00:00;104,3733333;41,2167952
65;AT;CP0111;Bread and cereals;2019-01-31 00:00:00;105,2216667;42,36458756
66;AT;CP0111;Bread and cereals;2019-07-31 00:00:00;106,2033333;43,69277951
67;AT;CP0111;Bread and cereals;2020-01-31 00:00:00;107,0616667;44,85410184
68;AT;CP0111;Bread and cereals;2020-07-31 00:00:00;107,91;46,0018942
69;AT;CP0111;Bread and cereals;2021-01-31 00:00:00;108,01;46,13719388
70;AT;CP0111;Bread and cereals;2021-07-31 00:00:00;108,7333333;47,11586163
71;AT;CP0111;Bread and cereals;2022-01-31 00:00:00;110,49;49,49262617
72;AT;CP0111;Bread and cereals;2022-07-31 00:00:00;118,2266667;59,96031209
73;AT;CP0111;Bread and cereals;2023-01-31 00:00:00;125,924;70,37478014
74;AT;CP01113;Bread;2013-01-31 00:00:00;94,455;0,047664442
75;AT;CP01113;Bread;2013-07-31 00:00:00;95,51333333;1,168661512
76;AT;CP01113;Bread;2014-01-31 00:00:00;97,10833333;2,85810119
77;AT;CP01113;Bread;2014-07-31 00:00:00;98,19666667;4,010874554
78;AT;CP01113;Bread;2015-01-31 00:00:00;98,835;4,687003495
79;AT;CP01113;Bread;2015-07-31 00:00:00;99,705;5,608516047
80;AT;CP01113;Bread;2016-01-31 00:00:00;100,565;6,5194365
81;AT;CP01113;Bread;2016-07-31 00:00:00;101,815;7,843448787
82;AT;CP01113;Bread;2017-01-31 00:00:00;102,65;8,727888995
83;AT;CP01113;Bread;2017-07-31 00:00:00;103,8983333;10,05013593
84;AT;CP01113;Bread;2018-01-31 00:00:00;104,8416667;11,04932387
85;AT;CP01113;Bread;2018-07-31 00:00:00;106,4816667;12,78642799
86;AT;CP01113;Bread;2019-01-31 00:00:00;107,29;13,6426226
87;AT;CP01113;Bread;2019-07-31 00:00:00;108,3966667;14,81481481
88;AT;CP01113;Bread;2020-01-31 00:00:00;109,0933333;15,552731
89;AT;CP01113;Bread;2020-07-31 00:00:00;110,4233333;16,96148007
90;AT;CP01113;Bread;2021-01-31 00:00:00;110,4716667;17,01267521
91;AT;CP01113;Bread;2021-07-31 00:00:00;112,0116667;18,64385835
92;AT;CP01113;Bread;2022-01-31 00:00:00;114,385;21,15771634
93;AT;CP01113;Bread;2022-07-31 00:00:00;122,7266667;29,99329167
94;AT;CP01113;Bread;2023-01-31 00:00:00;129,496;37,16343608
95;AT;CP0112;Meat;2005-01-31 00:00:00;77,47;0
96;AT;CP0112;Meat;2005-07-31 00:00:00;78,08166667;0,789552945
97;AT;CP0112;Meat;2006-01-31 00:00:00;77,98666667;0,666924831
98;AT;CP0112;Meat;2006-07-31 00:00:00;77,88333333;0,533539865
99;AT;CP0112;Meat;2007-01-31 00:00:00;79,375;2,459016393
100;AT;CP0112;Meat;2007-07-31 00:00:00;80,22333333;3,554063939
101;AT;CP0112;Meat;2008-01-31 00:00:00;81,70833333;5,470934986
102;AT;CP0112;Meat;2008-07-31 00:00:00;83,855;8,24190009
103;AT;CP0112;Meat;2009-01-31 00:00:00;86,21666667;11,29039198
104;AT;CP0112;Meat;2009-07-31 00:00:00;86,00666667;11,01931931
105;AT;CP0112;Meat;2010-01-31 00:00:00;86,02833333;11,04728712
106;AT;CP0112;Meat;2010-07-31 00:00:00;86,12;11,1656125
107;AT;CP0112;Meat;2011-01-31 00:00:00;86,35333333;11,46680435
108;AT;CP0112;Meat;2011-07-31 00:00:00;87,88833333;13,44821651
109;AT;CP0112;Meat;2012-01-31 00:00:00;90,22333333;16,46228648
110;AT;CP0112;Meat;2012-07-31 00:00:00;92,495;19,39460436
111;AT;CP0112;Meat;2013-01-31 00:00:00;96,24833333;24,23949056
112;AT;CP0112;Meat;2013-07-31 00:00:00;98,22833333;26,79531862
113;AT;CP0112;Meat;2014-01-31 00:00:00;98,55166667;27,21268448
114;AT;CP0112;Meat;2014-07-31 00:00:00;99,035;27,8365819
115;AT;CP0112;Meat;2015-01-31 00:00:00;99,43166667;28,34860806
116;AT;CP0112;Meat;2015-07-31 00:00:00;99,995;29,07577127
117;AT;CP0112;Meat;2016-01-31 00:00:00;100,2;29,34038983
118;AT;CP0112;Meat;2016-07-31 00:00:00;101,2383333;30,6806936
119;AT;CP0112;Meat;2017-01-31 00:00:00;101,6533333;31,21638484
120;AT;CP0112;Meat;2017-07-31 00:00:00;102,1216667;31,82091993
121;AT;CP0112;Meat;2018-01-31 00:00:00;103,975;34,21324384
122;AT;CP0112;Meat;2018-07-31 00:00:00;103,9983333;34,24336302
123;AT;CP0112;Meat;2019-01-31 00:00:00;105,2783333;35,89561551
124;AT;CP0112;Meat;2019-07-31 00:00:00;106,0983333;36,95408976
125;AT;CP0112;Meat;2020-01-31 00:00:00;107,7833333;39,12912525
126;AT;CP0112;Meat;2020-07-31 00:00:00;111,32;43,69433329
127;AT;CP0112;Meat;2021-01-31 00:00:00;111,015;43,3006325
128;AT;CP0112;Meat;2021-07-31 00:00:00;112,2633333;44,91200895
129;AT;CP0112;Meat;2022-01-31 00:00:00;113,215;46,14044146
130;AT;CP0112;Meat;2022-07-31 00:00:00;122,805;58,51942687
131;AT;CP0112;Meat;2023-01-31 00:00:00;131,26;69,43332903
132;AT;CP01121;Beef and veal;2013-01-31 00:00:00;96,795;0,098241986
133;AT;CP01121;Beef and veal;2013-07-31 00:00:00;96,655;-0,046535677
134;AT;CP01121;Beef and veal;2014-01-31 00:00:00;97,09333333;0,406756291
135;AT;CP01121;Beef and veal;2014-07-31 00:00:00;97,46833333;0,794553602
136;AT;CP01121;Beef and veal;2015-01-31 00:00:00;98,76;2,130299897
137;AT;CP01121;Beef and veal;2015-07-31 00:00:00;99,38333333;2,774905205
138;AT;CP01121;Beef and veal;2016-01-31 00:00:00;100,645;4,079627715
139;AT;CP01121;Beef and veal;2016-07-31 00:00:00;100,3216667;3,745260255
140;AT;CP01121;Beef and veal;2017-01-31 00:00:00;100,2516667;3,672871424
141;AT;CP01121;Beef and veal;2017-07-31 00:00:00;101,32;4,777662875
142;AT;CP01121;Beef and veal;2018-01-31 00:00:00;102,365;5,858324716
143;AT;CP01121;Beef and veal;2018-07-31 00:00:00;103,0083333;6,523612547
144;AT;CP01121;Beef and veal;2019-01-31 00:00:00;104,4166667;7,980006894
145;AT;CP01121;Beef and veal;2019-07-31 00:00:00;104,815;8,391933816
146;AT;CP01121;Beef and veal;2020-01-31 00:00:00;104,43;7,993795243
147;AT;CP01121;Beef and veal;2020-07-31 00:00:00;105,3966667;8,993450534
148;AT;CP01121;Beef and veal;2021-01-31 00:00:00;104,71;8,283350569
149;AT;CP01121;Beef and veal;2021-07-31 00:00:00;105,045;8,629782834
150;AT;CP01121;Beef and veal;2022-01-31 00:00:00;105,1833333;8,772836953
