country,year,category,group,subgroup,consumption
Austria,2014,Non-Animal,Carbohydrates,Cereals and Grains ,943.0
Austria,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,58.5
Austria,2014,Non-Animal,Fruit and Vegetables ,,234.0
Austria,2014,Non-Animal,Oils & Fats ,,863.0
Austria,2014,Animal,Meat ,,427.0
Austria,2014,Animal,Dairy & Eggs ,,296.0
Austria,2014,Non-Animal,Alcoholic Beverages ,,246.0
Austria,2014,Non-Animal,Carbohydrates,Sugar ,476.0
Austria,2015,Non-Animal,Alcoholic Beverages ,,247.0
Austria,2015,Non-Animal,Fruit and Vegetables ,,243.0
Austria,2015,Non-Animal,Carbohydrates,Cereals and Grains ,929.0
Austria,2015,Non-Animal,Carbohydrates,Starchy Roots and pulses ,51.5
Austria,2015,Animal,Dairy & Eggs ,,290.0
Austria,2015,Non-Animal,Carbohydrates,Sugar ,470.0
Austria,2015,Non-Animal,Oils & Fats ,,971.0
Austria,2015,Animal,Meat ,,414.0
Austria,2016,Animal,Dairy & Eggs ,,303.0
Austria,2016,Non-Animal,Fruit and Vegetables ,,255.0
Austria,2016,Non-Animal,Carbohydrates,Cereals and Grains ,940.0
Austria,2016,Animal,Meat ,,429.0
Austria,2016,Non-Animal,Alcoholic Beverages ,,247.0
Austria,2016,Non-Animal,Carbohydrates,Sugar ,453.0
Austria,2016,Non-Animal,Oils & Fats ,,962.0
Austria,2016,Non-Animal,Carbohydrates,Starchy Roots and pulses ,55.5
Austria,2017,Non-Animal,Carbohydrates,Cereals and Grains ,910.0
Austria,2017,Non-Animal,Carbohydrates,Starchy Roots and pulses ,57.0
Austria,2017,Animal,Meat ,,408.0
Austria,2017,Animal,Dairy & Eggs ,,312.0
Austria,2017,Non-Animal,Fruit and Vegetables ,,274.0
Austria,2017,Non-Animal,Oils & Fats ,,975.0
Austria,2017,Non-Animal,Alcoholic Beverages ,,229.0
Austria,2017,Non-Animal,Carbohydrates,Sugar ,464.0
Austria,2018,Non-Animal,Oils & Fats ,,1025.0
Austria,2018,Animal,Meat ,,420.0
Austria,2018,Animal,Dairy & Eggs ,,303.0
Austria,2018,Non-Animal,Carbohydrates,Sugar ,446.0
Austria,2018,Non-Animal,Alcoholic Beverages ,,243.0
Austria,2018,Non-Animal,Fruit and Vegetables ,,240.0
Austria,2018,Non-Animal,Carbohydrates,Cereals and Grains ,893.0
Austria,2018,Non-Animal,Carbohydrates,Starchy Roots and pulses ,58.5
