country,year,trades,exports,imports
All,2010,6522.483871,105875.9355,84000.3871
All,2011,8694.774194,100087.9677,104737.2581
All,2012,12299.41935,111975.7419,94596.67742
All,2013,7982.0,121509.7419,113762.0
All,2014,15203.51613,131900.2581,116833.7742
All,2015,12502.3871,132604.6452,112234.1613
All,2016,15474.74194,118519.6452,100155.9677
All,2017,13693.64516,149287.0,139799.7419
All,2018,14881.25806,152134.6774,133522.4194
All,2019,17208.16129,138625.7742,140914.3226
All,2020,17292.29032,129460.2903,133187.871
All,2021,23217.19355,152924.4839,147172.0968
Austria,2010,-2908.0,79588.0,82496.0
Austria,2011,-2183.0,87551.0,89734.0
Austria,2012,-4078.0,92118.0,96196.0
Austria,2013,-3976.0,94606.0,98582.0
Austria,2014,-3974.0,97023.0,100997.0
Austria,2015,-4035.0,100356.0,104392.0
Austria,2016,-4408.0,103089.0,107497.0
Austria,2017,-2999.0,10965.0,112649.0
Austria,2018,-842.0,113333.0,114175.0
Austria,2019,1311.0,120398.0,119087.0
Austria,2020,562.0,12342.0,11780.0
Austria,2021,7868.0,132156.0,124288.0
Belgium,2010,41112.0,260217.0,219105.0
Belgium,2011,38585.0,284651.0,246066.0
Belgium,2012,43446.0,30191.0,258464.0
Belgium,2013,42406.0,309767.0,267361.0
Belgium,2014,39991.0,317769.0,277777.0
Belgium,2015,54627.0,335679.0,281053.0
Belgium,2016,50901.0,349126.0,298225.0
Belgium,2017,54615.0,369386.0,314771.0
Belgium,2018,5724.0,366673.0,309434.0
Belgium,2019,71385.0,380889.0,309503.0
Belgium,2020,63999.0,375006.0,311008.0
Belgium,2021,7410.0,410682.0,336582.0
Bulgaria,2010,2928.0,2007.0,17142.0
Bulgaria,2011,2872.0,2334.0,20468.0
Bulgaria,2012,4368.0,25465.0,21097.0
Bulgaria,2013,8542.0,30527.0,21985.0
Bulgaria,2014,6089.0,28224.0,22135.0
Bulgaria,2015,4813.0,28915.0,24102.0
Bulgaria,2016,6405.0,31642.0,25237.0
Bulgaria,2017,433.0,32049.0,27719.0
Bulgaria,2018,5053.0,33461.0,28408.0
Bulgaria,2019,6306.0,38126.0,3182.0
Bulgaria,2020,418.0,36461.0,32281.0
Bulgaria,2021,8079.0,44168.0,3609.0
Croatia,2010,-549.0,9493.0,14983.0
Croatia,2011,-6636.0,10241.0,16877.0
Croatia,2012,-6335.0,11413.0,17748.0
Croatia,2013,-834.0,10729.0,19068.0
Croatia,2014,-8908.0,12315.0,21222.0
Croatia,2015,-8828.0,14595.0,23422.0
Croatia,2016,-7643.0,16906.0,24549.0
Croatia,2017,-9366.0,17828.0,27194.0
Croatia,2018,-858.0,19653.0,28233.0
Croatia,2019,-11647.0,20194.0,31841.0
Croatia,2020,-7864.0,21943.0,29807.0
Croatia,2021,-9503.0,25344.0,34846.0
Cyprus,2010,-6817.0,205.0,8867.0
Cyprus,2011,-6832.0,2321.0,9153.0
Cyprus,2012,-7016.0,2287.0,9303.0
Cyprus,2013,-6266.0,2813.0,9079.0
Cyprus,2014,-6772.0,2777.0,9549.0
Cyprus,2015,-6764.0,2883.0,9647.0
Cyprus,2016,-6715.0,3382.0,10098.0
Cyprus,2017,-719.0,368.0,10871.0
Cyprus,2018,-7175.0,4092.0,11267.0
Cyprus,2019,-7293.0,439.0,11683.0
Cyprus,2020,-6214.0,4521.0,10735.0
Cyprus,2021,-7997.0,453.0,12527.0
Czechia,2010,-13416.0,36833.0,50249.0
Czechia,2011,-12632.0,44055.0,56688.0
Czechia,2012,-10901.0,50879.0,6178.0
Czechia,2013,-10323.0,53339.0,63662.0
Czechia,2014,-7531.0,57267.0,64798.0
Czechia,2015,-8034.0,64232.0,72266.0
Czechia,2016,-819.0,65563.0,73753.0
Czechia,2017,-11103.0,66595.0,77698.0
Czechia,2018,-14556.0,65315.0,79871.0
Czechia,2019,-16891.0,68758.0,85649.0
Czechia,2020,-11767.0,72996.0,84763.0
Czechia,2021,-1430.0,78524.0,92823.0
Denmark,2010,54484.0,137924.0,8344.0
Denmark,2011,54753.0,144163.0,8941.0
Denmark,2012,55596.0,148899.0,93303.0
Denmark,2013,55205.0,154126.0,9892.0
Denmark,2014,53267.0,154627.0,10136.0
Denmark,2015,50018.0,15562.0,105601.0
Denmark,2016,54113.0,161478.0,107365.0
Denmark,2017,59013.0,170688.0,111676.0
Denmark,2018,50715.0,165976.0,115261.0
Denmark,2019,5326.0,173171.0,119911.0
Denmark,2020,53103.0,170722.0,117619.0
Denmark,2021,50939.0,177606.0,126667.0
Estonia,2010,-2075.0,7541.0,9617.0
Estonia,2011,-2731.0,918.0,11911.0
Estonia,2012,-2057.0,10934.0,12992.0
Estonia,2013,-2552.0,11563.0,14115.0
Estonia,2014,-2555.0,11384.0,13939.0
Estonia,2015,-2596.0,1064.0,13236.0
Estonia,2016,-355.0,10092.0,13643.0
Estonia,2017,-3388.0,11139.0,14526.0
Estonia,2018,-3733.0,10813.0,14546.0
Estonia,2019,-254.0,12781.0,15322.0
Estonia,2020,-2206.0,12748.0,14953.0
Estonia,2021,-3234.0,13309.0,16543.0
Finland,2010,-21949.0,11835.0,33784.0
Finland,2011,-24009.0,1423.0,38239.0
Finland,2012,-2574.0,14332.0,40072.0
Finland,2013,-27642.0,14571.0,42212.0
Finland,2014,-2769.0,14196.0,41886.0
Finland,2015,-2916.0,13985.0,43145.0
Finland,2016,-29705.0,13745.0,43451.0
Finland,2017,-30688.0,15361.0,46049.0
Finland,2018,-31866.0,14714.0,4658.0
Finland,2019,-30422.0,16664.0,47085.0
Finland,2020,-28804.0,1775.0,46554.0
Finland,2021,-3005.0,17416.0,47466.0
France,2010,80709.0,447577.0,366868.0
France,2011,118673.0,517781.0,399108.0
France,2012,118778.0,530709.0,411931.0
France,2013,118835.0,552972.0,434137.0
France,2014,95126.0,536529.0,441404.0
France,2015,88648.0,548727.0,46008.0
France,2016,66473.0,541925.0,475452.0
France,2017,60919.0,564136.0,503217.0
France,2018,71527.0,576072.0,504546.0
France,2019,83623.0,596256.0,512632.0
France,2020,65686.0,571783.0,506097.0
France,2021,87975.0,640282.0,552307.0
Germany,2010,-59267.0,494945.0,554212.0
Germany,2011,-63139.0,54722.0,610359.0
Germany,2012,-52828.0,579555.0,632383.0
Germany,2013,-42183.0,612113.0,654296.0
Germany,2014,-47658.0,624445.0,672104.0
Germany,2015,-73012.0,642655.0,715667.0
Germany,2016,-8404.0,65751.0,74155.0
Germany,2017,-10355.0,681381.0,784931.0
Germany,2018,-113885.0,669421.0,783306.0
Germany,2019,-106691.0,69278.0,799471.0
Germany,2020,-127059.0,680589.0,807647.0
